,Instance Size,Fitness Nature,Time Nature,Fitness Greedy,Time Greedy
0,10,0.9,4.224388837814331,0.9,0.0007023811340332031
1,10,0.9,4.421748399734497,0.9,0.0006632804870605469
2,10,0.9,5.062893629074097,0.85,0.000896453857421875
3,10,0.9,4.087815046310425,0.875,0.0006680488586425781
4,10,0.9,4.040277004241943,0.9,0.0006632804870605469
5,10,0.9,4.043053388595581,0.9,0.0006692409515380859
6,10,0.9,4.1385157108306885,0.9,0.0006611347198486328
7,10,0.9,4.048149347305298,0.9,0.0006632804870605469
8,10,0.9,4.037773132324219,0.85,0.000675201416015625
9,10,0.9,4.0372583866119385,0.875,0.0006594657897949219
10,10,0.9,4.003707408905029,0.9,0.0006694793701171875
11,10,0.9,4.019986391067505,0.85,0.0006728172302246094
12,10,0.9,4.029632806777954,0.85,0.0006644725799560547
13,10,0.9,4.032350301742554,0.9,0.0006639957427978516
14,10,0.875,4.009194850921631,0.9,0.0006632804870605469
15,10,0.9,4.499673366546631,0.825,0.0006668567657470703
16,10,0.9,4.249972105026245,0.9,0.0006663799285888672
17,10,0.9,4.019841194152832,0.85,0.0006716251373291016
18,10,0.9,4.09195351600647,0.85,0.0006985664367675781
19,10,0.9,4.0371198654174805,0.9,0.0006587505340576172
20,10,0.875,4.0342161655426025,0.9,0.0006668567657470703
21,10,0.9,4.028757095336914,0.875,0.0006618499755859375
22,10,0.85,4.046188831329346,0.825,0.0006945133209228516
23,10,0.9,4.1061694622039795,0.85,0.0006690025329589844
24,10,0.9,4.062368869781494,0.9,0.0007011890411376953
25,10,0.85,4.027004718780518,0.9,0.0006620883941650391
26,10,0.9,4.040229797363281,0.875,0.0006830692291259766
27,10,0.875,4.050747871398926,0.85,0.0006699562072753906
28,10,0.9,4.0514867305755615,0.9,0.0006847381591796875
29,10,0.9,4.050454378128052,0.9,0.0006606578826904297
30,15,0.9,4.092242479324341,0.8777777777777778,0.000919342041015625
31,15,0.8555555555555556,4.092993259429932,0.8666666666666667,0.0009210109710693359
32,15,0.9,4.08436393737793,0.8222222222222222,0.0009226799011230469
33,15,0.8555555555555556,4.0828962326049805,0.8222222222222222,0.0009801387786865234
34,15,0.8666666666666667,4.094059228897095,0.8,0.0009410381317138672
35,15,0.9,4.12656831741333,0.8777777777777778,0.0009195804595947266
36,15,0.9,4.117295742034912,0.8444444444444444,0.0009186267852783203
37,15,0.8666666666666667,4.102015972137451,0.8333333333333334,0.000926971435546875
38,15,0.8777777777777778,4.137853622436523,0.8444444444444444,0.0009295940399169922
39,15,0.8888888888888888,4.081864833831787,0.8777777777777778,0.0009946823120117188
40,15,0.9,4.111053705215454,0.9,0.0009326934814453125
41,15,0.8888888888888888,4.147353410720825,0.7888888888888889,0.0009407997131347656
42,15,0.9,4.149964809417725,0.8777777777777778,0.0009388923645019531
43,15,0.8888888888888888,4.104267597198486,0.8666666666666667,0.0009620189666748047
44,15,0.8666666666666667,4.102175712585449,0.8666666666666667,0.0009160041809082031
45,15,0.9,4.094253301620483,0.8333333333333334,0.0009188652038574219
46,15,0.8888888888888888,4.112229585647583,0.9,0.0009169578552246094
47,15,0.8777777777777778,4.081300973892212,0.9,0.0009171962738037109
48,15,0.8888888888888888,4.135162830352783,0.8222222222222222,0.0009603500366210938
49,15,0.9,4.1000213623046875,0.9,0.0009396076202392578
50,15,0.8777777777777778,4.127668619155884,0.8666666666666667,0.0009474754333496094
51,15,0.9,4.074119806289673,0.7666666666666666,0.0009648799896240234
52,15,0.9,4.089306116104126,0.8666666666666667,0.0009164810180664062
53,15,0.9,4.111345529556274,0.9,0.0009169578552246094
54,15,0.9,4.120791435241699,0.8222222222222222,0.0009300708770751953
55,15,0.9,4.104134798049927,0.9,0.0009522438049316406
56,15,0.8555555555555556,4.092456579208374,0.8777777777777778,0.0009214878082275391
57,15,0.8888888888888888,4.1054463386535645,0.8888888888888888,0.00092315673828125
58,15,0.9,4.112645149230957,0.8333333333333334,0.0009217262268066406
59,15,0.8444444444444444,4.11642861366272,0.8777777777777778,0.00091552734375
60,25,0.84,4.203857421875,0.812,0.001438140869140625
61,25,0.868,4.229767560958862,0.8200000000000001,0.0014357566833496094
62,25,0.856,4.209756851196289,0.876,0.0014467239379882812
63,25,0.876,4.184710502624512,0.8,0.0014605522155761719
64,25,0.892,4.160924911499023,0.856,0.0014367103576660156
65,25,0.868,4.228036165237427,0.84,0.0014371871948242188
66,25,0.888,4.207052230834961,0.84,0.0014486312866210938
67,25,0.812,4.175704002380371,0.8280000000000001,0.0014331340789794922
68,25,0.884,4.175239086151123,0.832,0.001477956771850586
69,25,0.852,4.19239068031311,0.8280000000000001,0.0013647079467773438
70,25,0.86,4.176240921020508,0.78,0.0014679431915283203
71,25,0.868,4.197963237762451,0.8240000000000001,0.0014388561248779297
72,25,0.88,4.229675769805908,0.852,0.0014357566833496094
73,25,0.856,4.2299580574035645,0.744,0.0014553070068359375
74,25,0.864,4.225268840789795,0.764,0.0017383098602294922
75,25,0.856,4.212104320526123,0.832,0.001440286636352539
76,25,0.864,4.159680366516113,0.8160000000000001,0.0014505386352539062
77,25,0.848,4.219783782958984,0.768,0.0014615058898925781
78,25,0.856,4.166137933731079,0.86,0.0014121532440185547
79,25,0.856,4.192381381988525,0.86,0.0014488697052001953
80,25,0.856,4.184890508651733,0.784,0.0014011859893798828
81,25,0.88,4.1849205493927,0.788,0.001880645751953125
82,25,0.9,4.193042039871216,0.804,0.0014386177062988281
83,25,0.852,4.176505088806152,0.8240000000000001,0.0014693737030029297
84,25,0.856,4.198919773101807,0.804,0.0014643669128417969
85,25,0.856,4.190682888031006,0.8200000000000001,0.0014448165893554688
86,25,0.86,4.203037738800049,0.764,0.001455068588256836
87,25,0.876,4.219203233718872,0.8240000000000001,0.0014615058898925781
88,25,0.856,4.227726459503174,0.8240000000000001,0.0014657974243164062
89,25,0.836,4.202401161193848,0.784,0.0014271736145019531
90,50,0.847,4.452575445175171,0.756,0.0027382373809814453
91,50,0.858,4.455014705657959,0.788,0.0027968883514404297
92,50,0.845,4.452032804489136,0.786,0.002656698226928711
93,50,0.848,4.471472501754761,0.764,0.0028269290924072266
94,50,0.8140000000000001,4.430819034576416,0.762,0.0028085708618164062
95,50,0.866,4.456334352493286,0.773,0.0027883052825927734
96,50,0.846,4.445230484008789,0.795,0.00278472900390625
97,50,0.846,4.50115704536438,0.77,0.0027327537536621094
98,50,0.855,4.495373010635376,0.758,0.00279998779296875
99,50,0.854,4.496571779251099,0.759,0.0028057098388671875
100,50,0.832,4.457928895950317,0.785,0.002784252166748047
101,50,0.829,4.442033767700195,0.751,0.002813100814819336
102,50,0.846,4.459301948547363,0.823,0.0027625560760498047
103,50,0.86,4.457592964172363,0.763,0.002825498580932617
104,50,0.835,4.441076755523682,0.763,0.002752542495727539
105,50,0.857,4.443890810012817,0.782,0.0027458667755126953
106,50,0.841,4.4338672161102295,0.762,0.0027849674224853516
107,50,0.843,4.44059157371521,0.748,0.002844572067260742
108,50,0.815,4.807318687438965,0.775,0.0028085708618164062
109,50,0.858,4.4522318840026855,0.774,0.002766132354736328
110,50,0.823,4.422701835632324,0.756,0.0028383731842041016
111,50,0.823,4.442456483840942,0.742,0.0027735233306884766
112,50,0.842,4.504749298095703,0.768,0.002840280532836914
113,50,0.815,4.462653875350952,0.778,0.0028171539306640625
114,50,0.871,4.417430877685547,0.757,0.002824068069458008
115,50,0.831,4.447236776351929,0.8069999999999999,0.0027740001678466797
116,50,0.844,4.453345775604248,0.76,0.0026564598083496094
117,50,0.838,4.4594526290893555,0.764,0.0027832984924316406
118,50,0.844,4.4674232006073,0.757,0.002795696258544922
119,50,0.843,4.462683916091919,0.741,0.0028228759765625
120,100,0.80775,4.970131874084473,0.76175,0.00653839111328125
121,100,0.808,4.927313804626465,0.765,0.005580425262451172
122,100,0.8280000000000001,4.992239236831665,0.75775,0.005311489105224609
123,100,0.80725,5.078026294708252,0.754,0.0055468082427978516
124,100,0.7967500000000001,4.956097841262817,0.758,0.0055658817291259766
125,100,0.8095,4.925259113311768,0.7424999999999999,0.0054280757904052734
126,100,0.80775,4.943628311157227,0.76875,0.007635354995727539
127,100,0.8220000000000001,4.929821491241455,0.75325,0.006282806396484375
128,100,0.8145,4.932497262954712,0.7825,0.00606989860534668
129,100,0.82175,4.94559645652771,0.75725,0.005536317825317383
130,100,0.80275,4.9289231300354,0.758,0.005331754684448242
131,100,0.82325,4.922587871551514,0.74925,0.005711793899536133
132,100,0.8205,4.930562973022461,0.763,0.00673365592956543
133,100,0.81075,4.959253311157227,0.7595000000000001,0.0060193538665771484
134,100,0.8362499999999999,4.9573588371276855,0.7475,0.005616903305053711
135,100,0.8065,4.905030012130737,0.75975,0.00556492805480957
136,100,0.81225,4.953540325164795,0.7364999999999999,0.006455421447753906
137,100,0.8260000000000001,4.897742986679077,0.747,0.005541801452636719
138,100,0.8055,4.94005274772644,0.7525,0.005331277847290039
139,100,0.8235,4.924422025680542,0.747,0.0053594112396240234
140,100,0.81425,4.948261499404907,0.74675,0.007588863372802734
141,100,0.8125,4.932949781417847,0.7535000000000001,0.005419254302978516
142,100,0.80375,4.894426107406616,0.7395,0.005482196807861328
143,100,0.808,4.95466160774231,0.7444999999999999,0.006961345672607422
144,100,0.8215,4.906981945037842,0.74725,0.007627010345458984
145,100,0.82325,4.917931795120239,0.759,0.00550532341003418
146,100,0.802,4.904588460922241,0.74775,0.0055866241455078125
147,100,0.81,4.905507564544678,0.781,0.005584001541137695
148,100,0.8165,4.947076797485352,0.7255,0.005602598190307617
149,100,0.81025,4.955443620681763,0.75675,0.005501985549926758
150,200,0.7830625,5.998502254486084,0.748625,0.012652397155761719
151,200,0.784125,6.033757925033569,0.7530625,0.014603376388549805
152,200,0.790625,6.044053792953491,0.7516875000000001,0.011358261108398438
153,200,0.786375,6.061392784118652,0.74875,0.011333703994750977
154,200,0.788375,6.046588182449341,0.7546875,0.011415481567382812
155,200,0.7849375000000001,6.1146111488342285,0.7461249999999999,0.011306524276733398
156,200,0.7856875,6.091131925582886,0.7464999999999999,0.011386871337890625
157,200,0.781,6.080866813659668,0.7513125,0.014877796173095703
158,200,0.7905625000000001,6.084799289703369,0.7516875000000001,0.011175155639648438
159,200,0.7895,6.080096006393433,0.7514375,0.011797904968261719
160,200,0.7943125,6.091329574584961,0.7544375,0.01124715805053711
161,200,0.7847500000000001,6.0375518798828125,0.7484375,0.011066913604736328
162,200,0.7841875,6.079700946807861,0.75025,0.01345682144165039
163,200,0.793625,6.087095499038696,0.7525625,0.012319326400756836
164,200,0.7855624999999999,6.116656064987183,0.752625,0.011168718338012695
165,200,0.78075,6.073545694351196,0.753875,0.011519193649291992
166,200,0.7825625,6.064433336257935,0.753,0.013089418411254883
167,200,0.786125,6.067343711853027,0.7505625,0.014939308166503906
168,200,0.78425,6.103076219558716,0.7534375,0.0167691707611084
169,200,0.7820625,6.195908069610596,0.7465625,0.013273000717163086
170,200,0.7779375,6.2348668575286865,0.748,0.01117563247680664
171,200,0.7965,6.0837342739105225,0.75375,0.011293888092041016
172,200,0.7810625,6.055527210235596,0.747375,0.014865636825561523
173,200,0.7860625,6.133102178573608,0.7503124999999999,0.011455059051513672
174,200,0.7875,6.057721376419067,0.752875,0.011208534240722656
175,200,0.791125,6.079102993011475,0.75025,0.011189460754394531
176,200,0.78425,6.055919170379639,0.75375,0.01126718521118164
177,200,0.7886875,6.047258615493774,0.755,0.012305736541748047
178,200,0.7824375,6.075838327407837,0.74325,0.013846158981323242
179,200,0.7863125,6.083320617675781,0.7523124999999999,0.011220216751098633
180,500,0.76779,11.61232852935791,0.74952,0.03572678565979004
181,500,0.7657499999999999,11.509387493133545,0.75175,0.03525209426879883
182,500,0.76366,11.537012815475464,0.75195,0.03591036796569824
183,500,0.76469,11.67674970626831,0.75159,0.03566789627075195
184,500,0.76345,11.455703735351562,0.7503299999999999,0.03587698936462402
185,500,0.76545,11.537315368652344,0.75128,0.035683393478393555
186,500,0.76678,11.506335496902466,0.75174,0.03544950485229492
187,500,0.76479,11.524505853652954,0.75276,0.0362238883972168
188,500,0.76513,11.439215660095215,0.75227,0.035314083099365234
189,500,0.76795,11.531435012817383,0.75073,0.03523993492126465
190,500,0.76412,11.66268253326416,0.7506200000000001,0.03556346893310547
191,500,0.7656000000000001,11.584440231323242,0.75064,0.03570294380187988
192,500,0.76812,11.503384828567505,0.7499899999999999,0.03534054756164551
193,500,0.7702,11.40855860710144,0.74842,0.03547096252441406
194,500,0.76515,11.529667139053345,0.74885,0.03510594367980957
195,500,0.7639199999999999,11.518428087234497,0.75156,0.035428762435913086
196,500,0.76623,11.483382225036621,0.75068,0.03740715980529785
197,500,0.7663800000000001,11.594938039779663,0.75003,0.03571748733520508
198,500,0.76573,11.52213168144226,0.74979,0.036484718322753906
199,500,0.7653300000000001,11.525067567825317,0.75083,0.03557133674621582
200,500,0.76494,11.61277985572815,0.75122,0.035132408142089844
201,500,0.76634,11.530949354171753,0.75037,0.03511404991149902
202,500,0.76649,11.617924213409424,0.7502,0.03545212745666504
203,500,0.76657,11.565389156341553,0.75073,0.03571724891662598
204,500,0.76485,11.568574905395508,0.75015,0.03560805320739746
205,500,0.76363,11.615401268005371,0.75023,0.035803794860839844
206,500,0.7658,11.523656368255615,0.75093,0.03552603721618652
207,500,0.76719,11.49673318862915,0.74988,0.03657364845275879
208,500,0.76481,11.5015287399292,0.7486200000000001,0.035542964935302734
209,500,0.76846,11.510173082351685,0.75083,0.03564882278442383
210,1000,0.758955,20.032877206802368,0.7478925000000001,0.08031344413757324
211,1000,0.75783,19.96138858795166,0.7504474999999999,0.08160233497619629
212,1000,0.758375,19.817957162857056,0.7498075,0.07942056655883789
213,1000,0.7572375,19.903337955474854,0.7501424999999999,0.07914876937866211
214,1000,0.758215,19.978482723236084,0.7488349999999999,0.07948040962219238
215,1000,0.7582975000000001,19.870723009109497,0.750415,0.07925105094909668
216,1000,0.75734,19.8404061794281,0.7495324999999999,0.07936358451843262
217,1000,0.75708,19.98858332633972,0.7491975,0.07959127426147461
218,1000,0.75809,19.986751794815063,0.750715,0.07929801940917969
219,1000,0.758175,20.122435092926025,0.750475,0.07920217514038086
220,1000,0.7585325,19.9413902759552,0.74971,0.08300566673278809
221,1000,0.758475,20.133298635482788,0.750235,0.07911515235900879
222,1000,0.7580375,20.003010272979736,0.7504325000000001,0.07924032211303711
223,1000,0.7581825,20.181278228759766,0.7503425,0.07934904098510742
224,1000,0.757275,19.859135389328003,0.7505625,0.07979869842529297
225,1000,0.7576625,20.05942988395691,0.7499724999999999,0.0798797607421875
226,1000,0.7571924999999999,19.929852962493896,0.7496925,0.07957148551940918
227,1000,0.758005,19.948424100875854,0.7501424999999999,0.07938838005065918
228,1000,0.75942,19.981650590896606,0.7502800000000001,0.07894635200500488
229,1000,0.7574825000000001,19.960957765579224,0.75124,0.07982802391052246
230,1000,0.757615,20.036353826522827,0.7503625,0.07924747467041016
231,1000,0.7576375,20.078176498413086,0.7504725,0.07906079292297363
232,1000,0.75896,20.019530773162842,0.75074,0.07938933372497559
233,1000,0.7576,19.997905015945435,0.7509925,0.07933521270751953
234,1000,0.7559325,19.89174175262451,0.7500625,0.07920050621032715
235,1000,0.7586475,20.045835733413696,0.74899,0.07928895950317383
236,1000,0.7575675,19.9387149810791,0.7498275,0.0796515941619873
237,1000,0.7573475000000001,20.04501461982727,0.75059,0.07918286323547363
238,1000,0.75832,19.966142416000366,0.7499525,0.08054327964782715
239,1000,0.75814,19.771888256072998,0.7504850000000001,0.07965254783630371
